year,ym,month,actual,pred,method
2025,2025-08,8,6177.820058675944,7503.545477002077,q60
2025,2025-09,9,9189.889464429847,10894.272082567946,q60
2025,2025-10,10,7897.762139341014,9546.223128594145,q60
2025,2025-11,11,3488.7216959787406,4649.104404968599,q60
2025,2025-12,12,3536.288227656001,3313.484454873116,q60
2020,2020-01,1,5457.007268229654,3141.9070766168143,q65
2020,2020-02,2,1887.3719771322812,3178.0444209871343,q65
2020,2020-03,3,2128.2206493695803,2181.042318046404,q65
2020,2020-04,4,1872.786298646229,2361.9499001195136,q65
2020,2020-05,5,2064.6228446720447,2612.286053319663,q65
2020,2020-06,6,3279.012342580697,2963.5940465324175,q65
2020,2020-07,7,4978.318310098686,4135.291156755626,q65
2020,2020-08,8,8838.360149034703,5859.142990505598,q65
2020,2020-09,9,5619.295180086788,9451.2096379214,q65
2020,2020-10,10,1850.8362528978846,6209.659699562149,q65
2020,2020-11,11,1891.802704312295,3467.8003738439174,q65
2020,2020-12,12,3405.9544521657504,3080.85525302438,q65
2021,2021-01,1,4971.971829364932,3166.861856710025,q65
2021,2021-02,2,2884.4024417256596,2632.222920650218,q65
2021,2021-03,3,2487.209310970788,2237.6707450820545,q65
2021,2021-04,4,2770.3748635386487,2317.7534728807937,q65
2021,2021-05,5,2839.3721514512445,2748.278043454685,q65
2021,2021-06,6,3669.2263773169398,3349.342674101749,q65
2021,2021-07,7,4977.055254217393,4523.947833253041,q65
2021,2021-08,8,6991.9305302807,6074.6370592393905,q65
2021,2021-09,9,10460.64757946111,7204.454086856016,q65
2021,2021-10,10,7891.324604968693,7280.5020494223045,q65
2021,2021-11,11,3310.0003088010235,5117.602110731421,q65
2021,2021-12,12,3159.872332558557,3462.8025482763346,q65
2022,2022-01,1,4421.075539424003,3398.399160836237,q65
2022,2022-02,2,2395.2541250887098,2968.743676879627,q65
2022,2022-03,3,2578.482910297402,2331.82210947671,q65
2022,2022-04,4,3002.8055780281884,2450.0854453990205,q65
2022,2022-05,5,2677.942836412439,2898.425362872517,q65
2022,2022-06,6,3948.8349480423194,3391.3126386262384,q65
2022,2022-07,7,8792.50658310678,4783.875770077527,q65
